hex,layer1,with_shift,with_ctrl
0x09,key:TAB,,
0x0A,key:LGUI,,
0x0B,key:BSPC,,
0x0C,key:SPACE,,
0x0D,key:K_APP,,
0x0E,key:ESC,,
0x0F,key:DEL,,
0x10,write:1,key:F1,
0x11,write:a,write:A,keys:LCTRL+A
0x12,write:b,write:B,keys:LCTRL+B
0x13,write:c,write:C,keys:LCTRL+C
0x14,write:d,write:D,keys:LCTRL+D
0x15,write:e,write:E,keys:LCTRL+E
0x16,write:f,write:F,keys:LCTRL+F
0x17,write:g,write:G,keys:LCTRL+G
0x18,write:h,write:H,keys:LCTRL+H
0x19,write:i,write:I,keys:LCTRL+I
0x1A,write:j,write:J,keys:LCTRL+J
0x1B,write:k,write:K,keys:LCTRL+K
0x1C,write:l,write:L,keys:LCTRL+L
0x1D,write:m,write:M,keys:LCTRL+M
0x1E,"write:,","write:,",
0x1F,ime,ime,
0x20,write:2,key:F2,
0x21,write:n,write:N,keys:LCTRL+N
0x22,write:o,write:O,keys:LCTRL+O
0x23,write:p,write:P,keys:LCTRL+P
0x24,write:q,write:Q,keys:LCTRL+Q
0x25,write:r,write:R,keys:LCTRL+R
0x26,write:s,write:S,keys:LCTRL+S
0x27,write:t,write:T,keys:LCTRL+T
0x28,write:u,write:U,keys:LCTRL+U
0x29,write:v,write:V,keys:LCTRL+V
0x2A,write:w,write:W,keys:LCTRL+W
0x2B,write:x,write:X,keys:LCTRL+X
0x2C,write:y,write:Y,keys:LCTRL+Y
0x2D,write:z,write:Z,keys:LCTRL+Z
0x2E,write:.,write:.,
0x2F,write:!,write:!,
0x30,write:3,key:F3,
0x31,write:?,write:?,
0x32,write:~,write:~,
0x33,write:@,write:@,
0x34,write:_,write:_,
0x35,"write:""","write:""",
0x36,write:/,write:/,
0x37,write:*,write:*,
0x38,write:=,write:=,
0x39,write:+,write:+,
0x3A,write:-,write:-,
0x3B,write:%,write:%,
0x3C,write:`,write:`,
0x3D,write:\,write:\,
0x3E,keys:LSHIFT+TAB,,
0x3F,keys:LCTRL+TAB,,
0x40,write:4,key:F4,
0x41,write:&,write:&,
0x42,write:#,write:#,
0x43,write:$,write:$,
0x44,write:',write:',
0x45,write:^,write:^,
0x46,write:(,write:(,
0x47,write:),write:),
0x48,write:[,write:[,
0x49,write:{,write:{,
0x4A,write:],write:],
0x4B,write:},write:},
0x4C,write:<,write:<,
0x4D,write:>,write:>,
0x4E,write:;,write:;,
0x4F,write::,write::,
0x50,write:5,key:F5,
0x60,write:6,key:F6,
0x70,write:7,key:F7,
0x80,write:8,key:F8,
0x82,mod:Alt,,
0x84,mod:Ctrl,,
0x86,mod:Ctrl+Alt,,
0x88,mod:Shift,,
0x8A,mod:Shift+Alt,,
0x8C,mod:Shift+Ctrl,,
0x8E,mod:Shift+Ctrl+Alt,,
0x90,write:9,key:F9,
0xA0,write:0,key:F10,
0xB0,key:UP,key:F11,
0xC0,key:DOWN,key:F12,
0xC1,bt:SEL0,,
0xC2,bt:SEL1,,
0xC3,bt:SEL2,,
0xC4,bt:SEL3,,
0xC5,bt:SEL4,,
0xC9,bt:CLR,,
0xD0,key:LEFT,,
0xE0,key:RIGHT,,
0xF0,key:RET,,
